p_id,programming_task,music_cond,interval_30,interval_31,interval_32,interval_33,interval_34,interval_35
P05,2,3,0.018360655737704918,-0.001639344262295082,0.038360655737704925,0.04947176684881603,0.07836065573770493,0.028360655737704927
P06,3,1,0.010346083788706734,-0.0018761384335154881,-0.02187613843351549,-0.010765027322404374,-0.021876138433515484,-0.03187613843351549
P02,4,2,0.0,0.0,0.0,0.030000000000000006,0.0,0.0
P12,1,3,-0.04721311475409839,-0.05721311475409839,-0.027213114754098384,-0.024990892531876162,-0.007213114754098382,-0.04610200364298728
P03,3,2,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082
P07,4,4,-0.08804839968774394,0.054173822534478264,-0.18508543672478103,,0.28184578020643597,0.3963960447567005
P04,2,2,-0.025740740740740765,0.05425925925925924,0.13870370370370366,0.004259259259259242,0.03033068783068781,-0.015740740740740757
P07,3,3,-0.05856102003642986,0.1958834244080146,0.21532786885245905,0.026994535519125694,0.2158834244080146,0.22921675774134798
P03,4,3,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,0.003442622950819671
P01,2,1,0.0,0.052222222222222225,0.09111111111111111,0.01111111111111111,0.0,0.0
P02,3,1,0.0,0.0,0.0,0.0,0.030000000000000006,0.01111111111111111
P13,1,1,0.03746812386156648,0.006357012750455376,0.006357012750455379,-0.0036429872495446275,-0.0036429872495446275,0.016357012750455376
P07,2,1,0.3688888888888888,0.25666666666666665,0.20777777777777776,0.33444444444444443,0.2961111111111111,0.22444444444444445
P15,1,1,-0.014850686037126717,-0.014850686037126717,-0.014850686037126717,-0.004850686037126715,0.0362604250739844,0.015149313962873282
P04,3,4,0.0620899470899471,0.12296296296296294,0.029629629629629627,0.09074074074074073,0.05074074074074073,0.06962962962962962
P02,2,4,0.0,0.030000000000000006,0.0,0.0,0.0,0.0
P01,3,2,0.01,0.021111111111111112,0.05,0.05,0.09333333333333332,0.0
P10,1,1,-0.056520947176684835,-0.04985428051001815,-0.08096539162112927,0.010145719489981839,-0.060965391621129274,-0.03874316939890705
P05,4,1,0.005081967213114758,0.026193078324225866,0.005081967213114758,-0.004918032786885246,0.005081967213114756,0.005081967213114755
P06,2,4,-0.008196721311475409,0.03402550091074681,0.0029143897996357,-0.008196721311475409,-0.008196721311475409,0.021803278688524587
P05,3,2,0.038360655737704925,0.008360655737704923,0.01836065573770491,0.03836065573770493,0.04836065573770493,0.02836065573770492
P14,1,1,0.011256830601092893,0.022367941712204,0.03570127504553733,0.022367941712204003,0.03347905282331511,0.05347905282331511
P08,1,4,0.02222222222222222,0.043333333333333335,0.0,0.0,0.0,0.0
P01,4,4,0.0,0.0,0.01,0.01,0.02,0.03222222222222222
P03,2,1,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328,-0.006557377049180328
P11,1,3,0.0,0.01,0.0,0.0,0.0,0.0
P04,4,1,-0.07126593806921677,-0.010154826958105656,-0.0012659380692167765,0.06540072859744989,0.015771098967820266,-0.021265938069216773
P11,4,2,0.575,0.49070294784580504,0.10000000000000002,0.037037037037037035,0.4022222222222222,0.26
P15,3,4,0.0032604735883424414,-0.00673952641165756,0.0032604735883424406,0.0032604735883424414,0.03437158469945355,0.013260473588342443
P04,1,3,0.07331511839708559,-0.0033515482695810673,-0.013351548269581067,0.03664845173041893,0.06775956284153004,0.006648451730418933
P14,4,4,-0.024298724954462676,-0.044298724954462666,-0.013187613843351565,-0.013187613843351565,0.005701275045537327,-0.014298724954462674
P13,2,3,0.059444444444444446,0.019444444444444445,-0.0016666666666666666,0.008333333333333335,0.039444444444444456,0.05055555555555556
P01,1,3,0.030000000000000006,0.0,0.05111111111111111,0.10111111111111111,0.05,0.01
P10,3,3,-0.040856102003642925,-0.07196721311475404,-0.06085610200364292,-0.031967213114754034,0.04025500910746819,-0.01974499089253182
P08,4,1,0.0,0.0,0.0,0.01,0.0,0.02
P08,3,2,0.0,0.0,0.0,0.0,0.0,0.0
P10,4,4,-0.06238615664845174,-0.09238615664845172,-0.04127504553734063,-0.04238615664845173,-0.10349726775956285,-0.08349726775956284
P05,1,4,0.01836065573770492,0.028360655737704937,0.02836065573770493,0.009471766848816033,-0.001639344262295082,0.02836065573770493
P14,3,3,0.003442622950819654,0.003442622950819657,0.023442622950819655,-0.016557377049180345,0.004553734061930767,-0.014335154826958124
P15,4,2,0.02619307832422587,0.0050819672131147565,0.04508196721311476,-0.004918032786885246,0.005081967213114755,0.04674863387978142
P12,2,2,0.030145719489981782,0.00014571948998178262,0.022367941712204003,0.00014571948998178262,0.06014571948998178,0.05014571948998179
P11,3,1,0.004537037037037038,0.03453703703703705,0.01342592592592593,0.013425925925925928,-0.006574074074074071,0.003425925925925928
P09,4,3,0.11330145719489981,0.020801457194899804,0.010801457194899807,0.09191256830601091,-0.011420765027322416,0.0608014571948998
P13,4,4,0.006721311475409835,-0.003278688524590164,-0.003278688524590164,0.007832422586520945,0.05672131147540984,0.027832422586520945
P08,2,3,0.0,0.0,0.0,0.0,0.04,0.02
P14,2,2,0.017449908925318752,-0.02255009107468125,0.007449908925318752,-0.011438979963570137,0.00744990892531875,0.06078324225865208
P06,1,3,0.016885245901639343,0.08799635701275046,0.04688524590163934,0.007996357012750453,0.007996357012750454,0.036885245901639344
P12,3,1,0.023734061930783243,0.013734061930783229,-0.016265938069216772,-0.046265938069216764,-0.03626593806921676,-0.005154826958105659
P03,1,4,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082,-0.001639344262295082,0.008360655737704923,-0.001639344262295082
P12,4,4,0.018142076502732245,0.039253187613843346,0.008142076502732246,0.008142076502732246,-0.0018579234972677574,-0.0018579234972677578
P09,2,4,0.04212962962962964,0.026574074074074073,0.0887962962962963,0.026574074074074073,0.038796296296296294,0.023240740740740735
P15,2,3,-0.003278688524590164,0.01672131147540984,-0.003278688524590164,0.02783242258652095,-0.003278688524590164,-0.003278688524590164
