,task 1,task 2,task 3,task 4
0,0.010564663023679394,0.002367941712204004,-0.04626593806921677,0.004530965391621133
1,-0.0672131147540984,0.030145719489981782,-0.03626593806921677,0.030364298724954462
2,-0.0672131147540984,0.02125683060109289,-0.02626593806921677,-0.0018579234972677559
3,-0.017213114754098386,0.11459016393442625,-0.04626593806921677,-0.02185792349726776
4,-0.017213114754098386,0.0612568306010929,-0.006265938069216772,-0.011857923497267758
5,-0.0472131147540984,0.07014571948998179,-0.016265938069216772,0.028142076502732226
6,-0.016102003642987275,0.030145719489981793,0.0048451730418943425,-0.011857923497267758
7,0.002786885245901616,-0.008743169398907106,-0.00626593806921677,-0.0018579234972677587
8,-0.0672131147540984,0.02014571948998178,-0.015154826958105659,0.008142076502732245
9,-0.027213114754098388,0.0012568306010928925,-0.02626593806921677,0.040364298724954464
10,-0.02499089253187616,-0.019854280510018217,-0.016265938069216772,0.03814207650273223
11,-0.03721311475409839,0.0712568306010929,0.013734061930783234,0.01925318761384336
12,-0.017213114754098386,0.010145719489981784,0.04484517304189434,0.04814207650273223
13,-0.004990892531876161,0.03347905282331511,0.05373406193078323,-0.011857923497267758
14,-0.0472131147540984,0.030145719489981782,-0.006265938069216775,0.01925318761384336
15,-0.02610200364298727,0.00014571948998178262,0.05484517304189433,0.02147540983606557
16,-0.056102003642987286,0.01014571948998178,-0.02626593806921677,-0.02185792349726776
17,0.01278688524590162,0.00014571948998177986,-0.025154826958105662,-0.0018579234972677559
18,0.01278688524590162,0.00014571948998177986,0.03484517304189435,-0.02185792349726776
19,-0.017213114754098386,0.02125683060109289,-0.016265938069216772,-0.0018579234972677574
20,-0.01499089253187616,0.05014571948998179,-0.00515482695810566,0.02814207650273224
21,-0.037213114754098386,0.010145719489981784,-0.006265938069216772,0.060364298724954475
22,0.02278688524590162,0.02125683060109289,-0.04626593806921677,0.038142076502732235
23,-0.017213114754098386,0.01014571948998178,-0.004043715846994552,0.008142076502732245
24,-0.0072131147540983815,-0.00985428051001822,-0.035154826958105664,-0.011857923497267758
25,0.02500910746812384,0.05014571948998179,-0.01404371584699455,0.008142076502732245
26,-0.027213114754098384,-0.019854280510018217,-0.00515482695810566,-0.02185792349726776
27,-0.027213114754098388,0.0712568306010929,0.005956284153005446,0.05925318761384335
28,-0.016102003642987275,0.020145719489981784,0.013734061930783229,0.08036429872495447
29,-0.017213114754098386,0.09347905282331513,0.03595628415300546,0.009253187613843356
30,-0.04721311475409839,0.030145719489981782,0.023734061930783243,0.018142076502732245
31,-0.05721311475409839,0.00014571948998178262,0.013734061930783229,0.03925318761384335
32,-0.027213114754098384,0.022367941712204003,-0.016265938069216772,0.008142076502732245
33,-0.02499089253187616,0.00014571948998178262,-0.04626593806921677,0.008142076502732245
34,-0.0072131147540983815,0.06014571948998178,-0.03626593806921676,-0.0018579234972677574
35,-0.046102003642987284,0.05014571948998179,-0.005154826958105659,-0.0018579234972677574
36,-0.05610200364298728,0.030145719489981782,-0.03626593806921677,0.0031420765027322444
37,,,0.003734061930783232,
38,,,,
39,,,,
40,,,,
