,distr-focus,own-focus,office-focus,own-distr,office-distr,office-own
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.75,0.375,0.75,0.375,-0.375
3,0.0,0.25,,0.25,,
4,0.0,0.25,,0.25,,
5,0.0,0.5,,0.5,,
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.125,0.5,0.125,0.5,0.375
8,0.0,0.75,1.0,0.75,1.0,0.25
9,0.0,1.0,1.0,1.0,1.0,0.0
10,-1.0,-0.625,-0.125,0.375,0.875,0.5
11,-0.875,-0.25,-0.375,0.625,0.5,-0.125
12,-0.375,-0.375,0.5,0.0,0.875,0.875
13,0.0,0.0,0.25,0.0,0.25,0.25
14,-0.875,-0.875,-0.875,0.0,0.0,0.0
15,-1.0,-1.0,-0.875,0.0,0.125,0.125
16,-0.75,-0.625,-0.75,0.125,0.0,-0.125
17,-0.5,-0.125,0.5,0.375,1.0,0.625
18,-0.5,-0.5,,0.0,,
19,,,,,,
20,,,,,,
